,,,,,,,,,,10684,,MW capacity:,27407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reg_no,ref_no,company,site_location,subsite_name,county,mfg_date,original_permit_date,latest_permit_date,date_notes,quantity,capacity_bhp,capacity_kWe,total_capacity_kWe,manufacturer,model,equipment_type,tier,SCR,NOx_g_per_kWh,PM_g_per_kWh,NOx_lb_per_hr,CO_lb_per_hr,VOC_lb_per_hr,PM_lb_per_hr,SO2_lb_per_hr,NOx_uncontrolled_lb_per_hr,CO_uncontrolled_lb_per_hr,VOC_uncontrolled_lb_per_hr,PM_uncontrolled_lb_per_hr,NOx_controls,PM_controls,CO_controls,add_on_control,fuel_type,fuel_spec_raw,max_sulfur_wt_pct,fuel_throughput_limit_raw,operating_hr_per_year,possible_issues,additional_notes,transitory,exempt_from_permitting,
21527,ENG1 – ENG11,Microsoft Corporation – East Coast Data Center,"101 Herbert Drive near Boydton, Virginia",,Mecklenburg,2010,8/27/2010,9/19/2023,,11,3633,2500,27500,Caterpillar,3516C,emergency diesel genset,Tier 2,FALSE,9.27,0.07,51.1,6.1,1.2,0.4,,,,,,,,,,diesel,DIESEL which meets the ASTM D975 specification for Grades 1 or 2: Maximum sulfur content per shipment:  0.0015% ,0.00%,,,,,FALSE,FALSE,
21527,"ENG17, ENG32, 
ENG45",Microsoft Corporation – East Coast Data Center,"101 Herbert Drive near Boydton, Virginia",,Mecklenburg,2010,8/27/2010,9/19/2023,,3,1474,1000,3000,Caterpillar,C32C,emergency diesel genset,Tier 2,FALSE,8.8,0.09,19.4,2.8,0.3,0.2,,,,,,,,,,diesel,DIESEL which meets the ASTM D975 specification for Grades 1 or 2: Maximum sulfur content per shipment:  0.0015% ,0.00%,,,,,FALSE,FALSE,
21527,"ENG20, ENG31, 
ENG44",Microsoft Corporation – East Coast Data Center,"101 Herbert Drive near Boydton, Virginia",,Mecklenburg,2010,8/27/2010,9/19/2023,,3,2206,1500,4500,Caterpillar,3512C,emergency diesel genset,Tier 2,FALSE,8.95,0.12,29.6,4,0.8,0.4,,,,,,,,,,diesel,DIESEL which meets the ASTM D975 specification for Grades 1 or 2: Maximum sulfur content per shipment:  0.0015% ,0.00%,,,,,FALSE,FALSE,
21527,"ENG21 – ENG30, 
ENG34 –ENG43",Microsoft Corporation – East Coast Data Center,"101 Herbert Drive near Boydton, Virginia",,Mecklenburg,2012,11/20/2012,9/19/2023,,20,2937,2000,40000,Caterpillar,3516C,emergency diesel genset,Tier 2,FALSE,9.59,0.14,42.3,4,1.1,0.6,,,,,,,,,,diesel,DIESEL which meets the ASTM D975 specification for Grades 1 or 2: Maximum sulfur content per shipment:  0.0015% ,0.00%,,,,,FALSE,FALSE,
21527,"ENG46 – ENG61, 
ENG67 – ENG110 ",Microsoft Corporation – East Coast Data Center,"101 Herbert Drive near Boydton, Virginia",,Mecklenburg,2014,6/19/2014,9/19/2023,,60,3640,2500,150000,Cummins,2500DQKAN,emergency diesel genset,Tier 2,FALSE,9.6,0.51,52.9,14.4,0.6,2.8,0.8,,,,,electronic fuel injection and/or turbocharged engine and aftercooler,,,,diesel,DIESEL which meets the ASTM D975 specification for Grades 1 or 2: Maximum sulfur content per shipment:  0.0015% ,0.00%,,,,,FALSE,FALSE,
21527,ENG62 – ENG65,Microsoft Corporation – East Coast Data Center,"101 Herbert Drive near Boydton, Virginia",,Mecklenburg,2014,6/19/2014,9/19/2023,,4,2919,2000,8000,Cummins,2000DQKAB,emergency diesel genset,Tier 2,FALSE,8.89,0.23,39.2,5.3,0.9,1,0.7,,,,,,,,,diesel,DIESEL which meets the ASTM D975 specification for Grades 1 or 2: Maximum sulfur content per shipment:  0.0015% ,0.00%,,,,,FALSE,FALSE,
21527,ENG66,Microsoft Corporation – East Coast Data Center,"101 Herbert Drive near Boydton, Virginia",,Mecklenburg,2014,6/19/2014,9/19/2023,,1,1100,750,750,Cummins,750DQCB,emergency diesel genset,Tier 2,FALSE,8.95,0.12,14.8,0.6,0.5,0.2,0.01,,,,,,,,,diesel,DIESEL which meets the ASTM D975 specification for Grades 1 or 2: Maximum sulfur content per shipment:  0.0015% ,0.00%,,,,,FALSE,FALSE,
21527,ENG113 – ENG152,Microsoft Corporation – East Coast Data Center,"101 Herbert Drive near Boydton, Virginia",,Mecklenburg,2019,8/15/2018,9/19/2023,,40,4307,3000,120000,Cummins,C3000D6e,emergency diesel genset,Tier 2,FALSE,9.62,0.2,63.6,3.8,1.5,1.3,0.05,,,,,electronic fuel injection and/or turbocharged engine and aftercooler,,,,diesel,DIESEL which meets the ASTM D975 specification for Grades 1 or 2: Maximum sulfur content per shipment:  0.0015% ,0.00%,,,,,FALSE,FALSE,
21527,ENG153 – ENG154,Microsoft Corporation – East Coast Data Center,"101 Herbert Drive near Boydton, Virginia",,Mecklenburg,2019,8/15/2018,9/19/2023,,2,2922,1750,3500,Cummins,1750DQAD,emergency diesel genset,Tier 2,FALSE,11.69,0.26,45.1,4,1,1,0.04,,,,,electronic fuel injection and/or turbocharged engine and aftercooler,,,,diesel,DIESEL which meets the ASTM D975 specification for Grades 1 or 2: Maximum sulfur content per shipment:  0.0015% ,0.00%,,,,,FALSE,FALSE,
21527,ENG 155,Microsoft Corporation – East Coast Data Center,"101 Herbert Drive near Boydton, Virginia",,Mecklenburg,2019,8/15/2018,9/19/2023,,1,1183,800,800,Cummins,800DQCC,emergency diesel genset,Tier 2,FALSE,12.25,0.23,21.6,1.8,0.8,0.4,0.01,,,,,electronic fuel injection and/or turbocharged engine and aftercooler,,,,diesel,DIESEL which meets the ASTM D975 specification for Grades 1 or 2: Maximum sulfur content per shipment:  0.0015% ,0.00%,,,,,FALSE,FALSE,
